datactr1,cofidential and proprietary
churn,this is interestingÉ please cancel my policy now!!!!!
churn,would you call me ASAP?  My number is 123-555-0101
churn,I am not renewing my policy. This is sucks
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, I don't like thisÉ. I am done w/ my account"
churn,"FRAUD, for god sake.. What is going on?"
churn,Too expensive!  There should be some discountÉ.
churn,"My friend told me, thereÕs a better deal out there.. "
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. How can I close my policy?
retain,"I am happy with your service, please renew my policyÉ."
retain,what is this?  Am I happy?
retain,"Auto-renew my policy, please!!"
retain,"John was great, I am renewing my policyÉ."
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,can I open my account?É. My name is Jane Doe and phone # is 555-1234
churn,"I am through, you guys.. "
churn,stop sending me junk mailsÉ.
churn,"please cancel my accountÉ wonÕt come back to your company any more, for god sake!"
churn,please cancel my account!!!
churn,please cancel my acct
churn,I have enough.. cancelling my policy. Cancel mine ASAP
churn,what number should I call to cancel my policy?
churn,please cancel my account.. I am totally disappointedÉ donÕt call me again
churn,if all goes really wellÉ Ooops..
churn,I am not renewing my policy. This is sucks
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, I don't like thisÉ. I am done w/ my account"
churn,"FRAUD, for god sake.. What is going on?"
churn,Too expensive!  There should be some discountÉ.
churn,"My friend told me, thereÕs a better deal out there.. "
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. How can I close my policy?
churn,Totally unhappy.. please cancel my account
churn,"I am through, you guys.. close my account"
churn,Cancel my account. My policy number is 88999992
churn,please cancel my accountÉ wonÕt come back to your company any more
churn,please cancel my account!!!
churn,what am I going to do?  
churn,I have enough.. cancelling my policy
churn,what number should I call to cancel my policy?
churn,please cancel my account.. I am totally disappointedÉ donÕt call me again
churn,stop sending me junk mailsÉ.
churn,I am cancelling my policyÉ.
churn,I am not renewing my policy
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, please cancel my account"
churn,stop sending me junk mailsÉ.
churn,Too expensive!  please cancel
churn,"My friend told me, thereÕs a better deal out there.. please cancel my policyÉ."
churn,I am not renewing my policy. This is sucks
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, I don't like thisÉ. I am done w/ my account"
churn,"FRAUD, for god sake.. What is going on?"
churn,Too expensive!  There should be some discountÉ.
churn,"My friend told me, thereÕs a better deal out there.. "
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. How can I close my policy?
churn,what number should I call to cancel my policy?
retain,IÕd love to renew my policyÉ.
retain,Happy happyÉ renew my policyÉ.
retain,Can I renew my policyÉ.what number should I call?
retain,Can I renew my policy with this text?
retain,early renew my policy as Christmas is coming upÉ
retain,"Great, I will renew my policyÉ."
retain,"I love your offer, and will renew my policyÉ."
retain,"The service has been outstanding, IÕd like to renew my policyÉ. My ID is 4444432"
retain,renew please!!! renew my policyÉ.
retain,"Oh, this is great I will renew my policyÉ."
retain,"Your customer service has been outstandingÉ IÕd like to stay with you guys, pls renew my policyÉ."
retain,"good, excellent"
retain,Can I renew my account?
retain,"I am happy with your service, please renew my policyÉ."
retain,Auto-renew my policyÉ.
retain,Please call me at this numberÉ
retain,"John was great, I am renewing my policyÉ."
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,renew my accountÉ. My name is Jane Doe and phone # is 555-1234
retain,IÕd love to renew my policyÉ.
retain,Happy happyÉ renew my policyÉ.
retain,Can I renew my policyÉ.what number should I call?
retain,Can I renew my policy with this text?
retain,early renew my policy as Christmas is coming upÉ
retain,"Great, I will renew my policyÉ."
